layer,Thickness,Lithology
56,0.5,Limestone
55,0.22,Limestone
54,0.09,Dolostone
53,0.16,Limestone
52,0.2,Dolostone
51,0.05,Sandstone
50,0.03,Shale
49,0.09,Shale
48,0.01,Dolostone
47,0.05,Shale
46,0.15,Shale
45,0.02,Dolostone
44,0.08,Shale
43,0.02,Limestone
42,0.06,Shale
41,0.02,Dolostone
40,0.01,Shale
39,0.02,Limestone
38,0.18,Shale
37,0.02,Shale
36,0.07,Dolostone
35,0.02,Limestone
34,0.11,Dolostone
33,0.02,Shale
32,0.01,Sandstone
31,0.02,Shale
30,0.15,Dolostone
29,0.07,Dolostone
28,0.03,Limestone
27,0.02,Dolostone
26,0.01,Limestone
25,0.01,Dolostone
24,0.15,Limestone
23,0.06,Limestone
22,0.02,Dolostone
21,0.02,Limestone
20,0.14,Dolostone
19,0.01,Sandstone
18,0.05,Dolostone
17,0.09,Limestone
16,0.02,Shale
15,0.01,Dolostone
14,0.01,Shale
13,0.04,Dolostone
12,0.01,Shale
11,0.05,Dolostone
10,0.05,Limestone
9,0.08,Dolostone
8,0.06,Limestone
7,0.05,Dolostone
6,0.01,Limestone
5,0.01,Dolostone
4,0.2,Limestone
3,0.24,Limestone
2,0.15,Dolostone
1,0.06,Dolostone
