layer,Thickness,Lithology
36,0.068,Dolostone
35,0.016,Limestone
34,0.111,Dolostone
33,0.017,Shale
32,0.01,Sandstone
31,0.024,Shale
30,0.15,Dolostone
29,0.065,Dolostone
28,0.03,Limestone
27,0.021,Dolostone
26,0.011,Limestone
25,0.014,Dolostone
24,0.153,Limestone
23,0.061,Limestone
22,0.02,Dolostone
21,0.023,Limestone
20,0.138,Dolostone
19,0.007,Sandstone
18,0.05,Dolostone
17,0.091,Limestone
16,0.021,Shale
15,0.005,Dolostone
14,0.011,Shale
13,0.043,Dolostone
12,0.013,Shale
11,0.05,Dolostone
10,0.045,Limestone
9,0.082,Dolostone
8,0.061,Limestone
7,0.05,Dolostone
6,0.01,Limestone
5,0.011,Dolostone
4,0.205,Limestone
3,0.24,Limestone
2,0.147,Dolostone
1,0.064,Dolostone
